DAM_ID,DAM_NAME,STATE,AGENCY_CODE,LONG,LAT,TIME_SERIES_START,TIME_SERIES_END,INCONSISTENCIES_NOTED
421,Seminoe,Wyoming,BOR,-106.906358,42.154838,1945-10-01,2020-05-05,NA
423,Fontenelle,Wyoming,BOR,-110.065625,42.028371,1964-04-23,2021-01-27,NA
424,Wheatland 1,Wyoming,WSE,-105.043725,41.997877,1984-10-01,2019-09-30,NA
428,Wheatland 2,Wyoming,WSE,-105.642093,41.833794,1984-10-01,2018-09-30,NA
430,Wild Horse Dam,Nevada,USGS,-115.83377,41.684728,1965-01-01,2020-12-31,NA
431,Hyrum,Utah,BOR,-111.871746,41.623799,1974-01-31,2021-01-27,NA
437,Arthur V. Watkins,Utah,BOR,-112.130397,41.376955,1985-12-22,2021-01-27,NA
438,Pineview,Utah,BOR ,-111.841795,41.254826,1977-12-01,2021-01-27,NA
442,Lost Creek,Utah,BOR,-111.39784,41.185867,1982-10-30,2021-01-28,NA
445,Meeks Cabin,Wyoming,BOR,-110.582609,41.025296,1973-05-09,2021-01-27,NA
448,Bor Stateline Summit,Utah,BOR,-110.386982,40.987986,1979-06-28,2021-01-27,NA
449,Echo,Utah,BOR,-111.430527,40.963948,1967-01-01,2021-01-28,NA
450,East Canyon,Utah,BOR,-111.597917,40.919468,1969-05-01,2021-01-28,NA
451,Flaming Gorge,Utah,BOR,-109.420471,40.915665,1962-11-01,2021-01-27,NA
456,Wanship,Utah,BOR,-111.40263,40.787922,1968-10-01,2021-01-27,NA
458,Smith and Morehouse Dam,Utah,BOR,-111.104034,40.76266,2003-01-01,2021-01-27,NA
467,Bor Jordanelle,Utah,BOR,-111.422917,40.599261,1993-02-05,2021-01-27,NA
468,Dixon Canyon,Colorado,BOR,-105.164661,40.589614,1986-05-01,2018-12-18,NA
469,Red Fleet,Utah,BOR,-109.420236,40.577988,1980-05-01,2021-01-25,NA
470,Upper Bor Stillwater,Utah,BOR,-110.701662,40.561752,1989-07-02,2021-01-27,NA
471,Moon Lake,Utah,BOR,-110.489005,40.562222,1974-10-31,2021-01-27,NA
473,Steinaker,Utah,BOR,-109.53125,40.510417,1974-10-01,2021-01-25,NA
477,Deer Creek,Utah,BOR,-111.525821,40.407034,1950-01-01,2021-01-24,NA
481,Carter Lake Dam 1,Colorado,BOR,-105.214853,40.326941,1986-05-01,2018-12-18,NA
487,Shadow Mountain,Colorado,BOR,-105.84375,40.210417,1953-10-01,2018-12-31,NA
488,Bor Starvation,Utah,BOR,-110.444834,40.191264,1969-12-01,2021-01-27,NA
491,Willow Creek,Colorado,BOR,-105.945086,40.147981,2010-01-01,2018-12-18,NA
492,Granby,Colorado,BOR,-105.856013,40.139748,1951-09-01,2021-01-27,NA
493,Soldier Creek,Utah,BOR,-111.028275,40.137146,1974-10-31,2021-01-27,NA
497,Williams Fork,Colorado,DENW,-106.205943,40.03395,1959-07-01,2020-07-26,NA
500,Gross,Colorado,DENW,-105.357859,39.949456,1986-12-25,1956-11-05,NA
502,Green Mountain,Colorado,BOR,-106.329309,39.876756,1951-09-01,2021-01-27,NA
505,Ralston,Colorado,DENW,-105.241537,39.832745,1976-04-01,2020-07-22,NA
